"id","name","city","cityname","brandid","brandname","format","mall","mallname","floor","floorname","address","location","locationname","latitude","longitude","contactno","email","description","website","facebookpage","twitterpage",
"30","Sunglass Hut","12","Chennai","46","Sunglass Hut","1","176","Ramee Mall","7","Fourth Floor","Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018","61","Anna Salai","13.042912","80.248398","","sh@sh.com","","","","",
"31","Sunglass Hut","13","Bangalore","46","Sunglass Hut","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","sh@sh.com","","","","",
"32","Cygnus","15","Mumbai","42","Cygnus","1","119","R City Mall","1","Lower Ground Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","","cygnus@cygnus.com","","","","",
"33","Cygnus","7","Delhi NCR","42","Cygnus","1","149","Ansal Plaza","7","Fourth Floor","Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049","41","Andrews Ganj","28.562743","77.224429","","cygnus@cygnus.com","","","","",
"34","Cygnus","11","Ahmedabad","42","Cygnus","1","133","Alpha One Mall","7","Fourth Floor","AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006","29","Vastrapur","23.040102","72.531496","","cygnus@cygnus.com","","","","",
"35","Cygnus","9","Kolkata","42","Cygnus","1","170","Forum Mall","7","Fourth Floor","Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal","55","Bhowanipore","22.538207","88.351251","","cygnus@cygnus.com","","","","",
"36","Cygnus","8","Hyderabad","42","Cygnus","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","cygnus@cygnus.com","","","","",
"37","Cygnus","10","Pune","42","Cygnus","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","cygnus@cygnus.com","","","","",
"38","Cygnus","12","Chennai","42","Cygnus","1","176","Ramee Mall","7","Fourth Floor","Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018","61","Anna Salai","13.042912","80.248398","","cygnus@cygnus.com","","","","",
"39","Cygnus","13","Bangalore","42","Cygnus","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","cygnus@cygnus.com","","","","",
"40","Michael Kors","15","Mumbai","44","Michael Kors","1","119","R City Mall","1","Lower Ground Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","","mk@mk.com","","","","",
"41","Michael Kors","7","Delhi NCR","44","Michael Kors","1","149","Ansal Plaza","7","Fourth Floor","Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049","41","Andrews Ganj","28.562743","77.224429","","mk@mk.com","","","","",
"42","Michael Kors","11","Ahmedabad","44","Michael Kors","1","133","Alpha One Mall","7","Fourth Floor","AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006","29","Vastrapur","23.040102","72.531496","","mk@mk.com","","","","",
"43","Michael Kors","9","Kolkata","44","Michael Kors","1","170","Forum Mall","7","Fourth Floor","Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal","55","Bhowanipore","22.538207","88.351251","","mk@mk.com","","","","",
"44","Michael Kors","8","Hyderabad","44","Michael Kors","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","mk@mk.com","","","","",
"45","Michael Kors","10","Pune","44","Michael Kors","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","mk@mk.com","","","","",
"46","Michael Kors","12","Chennai","44","Michael Kors","1","176","Ramee Mall","7","Fourth Floor","Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018","61","Anna Salai","13.042912","80.248398","","mk@mk.com","","","","",
"47","Michael Kors","13","Bangalore","44","Michael Kors","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","mk@mk.com","","","","",
"48","Holii","15","Mumbai","45","Holii","1","119","R City Mall","7","Fourth Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","98765","h@holii.com","demo","","","",
"49","Holii","7","Delhi NCR","45","Holii","1","149","Ansal Plaza","7","Fourth Floor","Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049","41","Andrews Ganj","28.562743","77.224429","","h@holii.com","","","","",
"50","Holii","11","Ahmedabad","45","Holii","1","133","Alpha One Mall","7","Fourth Floor","AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006","29","Vastrapur","23.040102","72.531496","","h@holii.com","","","","",
"51","Holii","9","Kolkata","45","Holii","1","170","Forum Mall","7","Fourth Floor","Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal","55","Bhowanipore","22.538207","88.351251","","h@holii.com","","","","",
"52","Holii","8","Hyderabad","45","Holii","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","h@holii.com","","","","",
"53","Holii","10","Pune","45","Holii","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","h@holii.com","","","","",
"54","Holii","12","Chennai","45","Holii","1","176","Ramee Mall","7","Fourth Floor","Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018","61","Anna Salai","13.042912","80.248398","","h@holii.com","","","","",
"55","Holii","13","Bangalore","45","Holii","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","h@holii.com","","","","",
"56","Mothercare","15","Mumbai","51","Mothercare","1","119","R City Mall","7","Fourth Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","","Mothercare@mothercare.com","","","","",
"57","Mothercare","7","Delhi NCR","51","Mothercare","1","149","Ansal Plaza","7","Fourth Floor","Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049","41","Andrews Ganj","28.562743","77.224429","","Mothercare@mothercare.com","","","","",
"58","Mothercare","11","Ahmedabad","51","Mothercare","1","133","Alpha One Mall","7","Fourth Floor","AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006","29","Vastrapur","23.040102","72.531496","","Mothercare@mothercare.com","","","","",
"59","Mothercare","9","Kolkata","51","Mothercare","1","170","Forum Mall","7","Fourth Floor","Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal","55","Bhowanipore","22.538207","88.351251","","Mothercare@mothercare.com","","","","",
"60","Mothercare","8","Hyderabad","51","Mothercare","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","Mothercare@mothercare.com","","","","",
"61","Mothercare","10","Pune","51","Mothercare","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","Mothercare@mothercare.com","","","","",
"62","Mothercare","12","Chennai","51","Mothercare","1","176","Ramee Mall","7","Fourth Floor","Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018","61","Anna Salai","13.042912","80.248398","","Mothercare@mothercare.com","","","","",
"63","Mothercare","13","Bangalore","51","Mothercare","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","Mothercare@mothercare.com","","","","",
"64","Cinepolis","15","Mumbai","43","Cinepolis","1","119","R City Mall","7","Fourth Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","","c@cinepolis.com","","","","",
"65","Cinepolis","7","Delhi NCR","43","Cinepolis","1","149","Ansal Plaza","7","Fourth Floor","Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049","41","Andrews Ganj","28.562743","77.224429","","c@cinepolis.com","","","","",
"66","Cinepolis","11","Ahmedabad","43","Cinepolis","1","133","Alpha One Mall","7","Fourth Floor","AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006","29","Vastrapur","23.040102","72.531496","","c@cinepolis.com","","","","",
"67","Cinepolis","9","Kolkata","43","Cinepolis","1","170","Forum Mall","7","Fourth Floor","Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal","55","Bhowanipore","22.538207","88.351251","","c@cinepolis.com","","","","",
"68","Cinepolis","8","Hyderabad","43","Cinepolis","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","c@cinepolis.com","","","","",
"69","Cinepolis","10","Pune","43","Cinepolis","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","c@cinepolis.com","","","","",
"70","Cinepolis","12","Chennai","43","Cinepolis","1","176","Ramee Mall","7","Fourth Floor","Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018","61","Anna Salai","13.042912","80.248398","","c@cinepolis.com","","","","",
"71","Cinepolis","13","Bangalore","43","Cinepolis","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","c@cinepolis.com","","","","",
"72","Reebok ","15","Mumbai","54","Reebok","1","119","R City Mall","7","Fourth Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","","Reebok@reebok.com","","","","",
"73","Reebok ","7","Delhi NCR","54","Reebok","1","149","Ansal Plaza","7","Fourth Floor","Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049","41","Andrews Ganj","28.562743","77.224429","","Reebok@reebok.com","","","","",
"74","Reebok ","11","Ahmedabad","54","Reebok","1","133","Alpha One Mall","7","Fourth Floor","AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006","29","Vastrapur","23.040102","72.531496","","Reebok@reebok.com","","","","",
"75","Reebok ","9","Kolkata","54","Reebok","1","170","Forum Mall","7","Fourth Floor","Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal","55","Bhowanipore","22.538207","88.351251","","Reebok@reebok.com","","","","",
"76","Reebok ","8","Hyderabad","54","Reebok","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","Reebok@reebok.com","","","","",
"77","Reebok ","10","Pune","54","Reebok","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","Reebok@reebok.com","","","","",
"78","Reebok ","12","Chennai","54","Reebok","1","176","Ramee Mall","7","Fourth Floor","Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018","61","Anna Salai","13.042912","80.248398","","Reebok@reebok.com","","","","",
"79","Reebok ","13","Bangalore","54","Reebok","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","Reebok@reebok.com","","","","",
"80","Ruff","15","Mumbai","50","Ruff","1","119","R City Mall","7","Fourth Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","","ruff@ruff.in","","","","",
"81","Ruff","7","Delhi NCR","50","Ruff","1","149","Ansal Plaza","7","Fourth Floor","Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049","41","Andrews Ganj","28.562743","77.224429","","ruff@ruff.in","","","","",
"82","Ruff","11","Ahmedabad","50","Ruff","1","133","Alpha One Mall","7","Fourth Floor","AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006","29","Vastrapur","23.040102","72.531496","","ruff@ruff.in","","","","",
"83","Ruff","9","Kolkata","50","Ruff","1","170","Forum Mall","7","Fourth Floor","Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal","55","Bhowanipore","22.538207","88.351251","","ruff@ruff.in","","","","",
"84","Ruff","8","Hyderabad","50","Ruff","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","ruff@ruff.in","","","","",
"85","Ruff","10","Pune","50","Ruff","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","ruff@ruff.in","","","","",
"86","Ruff","12","Chennai","50","Ruff","1","176","Ramee Mall","7","Fourth Floor","Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018","61","Anna Salai","13.042912","80.248398","","ruff@ruff.in","","","","",
"87","Ruff","13","Bangalore","50","Ruff","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","ruff@ruff.in","","","","",
"88","Van Heusen","15","Mumbai","47","Van Heusen","1","119","R City Mall","7","Fourth Floor","R City Mall, Lal Bahadur Shastri Road, Ghatkopar (West), Mumbai - 400086","12","Ghatkopar (west)","19.0991064","72.9172897","","vh@vh.com","","","","",
"89","Van Heusen","7","Delhi NCR","47","Van Heusen","1","149","Ansal Plaza","7","Fourth Floor","Ansal Plaza, August Kranti Marg, Hudco Place, Andrews Ganj, New Delhi, DL 110049","41","Andrews Ganj","28.562743","77.224429","","vh@vh.com","","","","",
"90","Van Heusen","11","Ahmedabad","47","Van Heusen","1","133","Alpha One Mall","7","Fourth Floor","AlphaOne Ahmedabad,Plot No-216,T.P Scheme-1, Near VastrapurLake, Vastrapur, Ahmedabad 380006","29","Vastrapur","23.040102","72.531496","","vh@vh.com","","","","",
"91","Van Heusen","9","Kolkata","47","Van Heusen","1","170","Forum Mall","7","Fourth Floor","Forum Mall, 10/3, Lala Lajpat Rai Sarani, Sreepally, Bhowanipore, Kolkata, West Bengal","55","Bhowanipore","22.538207","88.351251","","vh@vh.com","","","","",
"92","Van Heusen","8","Hyderabad","47","Van Heusen","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","vh@vh.com","","","","",
"93","Van Heusen","10","Pune","47","Van Heusen","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","vh@vh.com","","","","",
"94","Van Heusen","12","Chennai","47","Van Heusen","1","176","Ramee Mall","7","Fourth Floor","Ramee Mall, 365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018","61","Anna Salai","13.042912","80.248398","","vh@vh.com","","","","",
"95","Van Heusen","13","Bangalore","47","Van Heusen","1","122","Inorbit Mall","7","Fourth Floor","Inorbit Mall Sector 30A, Vashi, Navi Mumbai - 400 705","19","Vashi","19.066108","73.000969","","vh@vh.com","","","","",
"97","csv store","16","dadar","1","Nike","1","182","csv3","11","1st","","0","","0","0","900099","email@email.com","desc","website","facebook","twpage",
"100","nnnnnn","8","Hyderabad","1","Nike","1","162","Amrutha Mall","2","Upper Ground Floor","Amrutha Mall, Somajiguda Circle, Somajiguda, Hyderabad, Telangana 500082","48","Somajiguda","17.428896","78.455946","98765","pankaj@gmail.com","demo","website","facebook","twpage",
"101","rrrrrr","7","Delhi NCR","1","Nike","1","147","Ambience Mall","8","Fifth Floor","Ambience Mall, National Highway 8, Ambience Island, Gurgaon, Haryana 122001","39","Gurgaon","28.503883","77.097273","98765","pankaj@gmail.com","demo","website","facebook","twpage",
